# Name, Student Number
# Nikolas Maier, 500461990
# Oluwatomilayo Adegbite, 500569283
Gambler #,Round #,Optimal Arm,Average reward,Times optimal action picked,Probability of Picking Optimal,Actual Probability
29,1900,5,167.6,1075,0.8994665135,0.9974309922
29,2000,5,177.4,1170,0.9341101173,0.9974309922
29,2100,5,187.2,1257,0.8994661084,0.9974309922
29,2200,5,197,1345,0.894130694,0.9974309922
29,2300,5,206.8,1438,0.9207323158,0.9974309922
29,2400,5,216.7,1530,0.9242398737,0.9974309922
29,2500,5,226.6,1623,0.9333097355,0.9974309922
29,2600,5,236.5,1716,0.9287949886,0.9974309922
29,2700,5,246.3,1804,0.9025747484,0.9974309922
29,2800,5,256.3,1899,0.9338298319,0.9974309922
29,2900,5,266.2,1988,0.905086362,0.9974309922
29,3000,5,276,2081,0.9318040091,0.9974309922
29,3100,5,285.7,2173,0.9436320903,0.9974309922
29,3200,5,295.6,2266,0.9407974436,0.9974309922
29,3300,5,305.5,2362,0.9637034626,0.9974309922
29,3400,5,315.4,2460,0.9824088856,0.9974309922
29,3500,5,325.3,2560,0.9934960436,0.9974309922
29,3600,5,335.2,2658,0.9845077806,0.9974309922
29,3700,5,345.2,2758,0.9943293466,0.9974309922
29,3800,5,355.1,2858,0.9979033914,0.9974309922
29,3900,5,365.1,2958,0.9992325734,0.9974309922
29,4000,5,375.1,3058,0.9997190971,0.9974309922
29,4100,5,385,3158,0.9998961419,0.9974309922
29,4200,5,395,3258,0.9999619846,0.9974309922
29,4300,5,405,3358,0.9999860851,0.9974309922
29,4400,5,414.9,3458,0.9999948553,0.9974309922
29,4500,5,424.9,3558,0.9999981169,0.9974309922
29,4600,5,434.9,3658,0.9999993107,0.9974309922
29,4700,5,444.8,3758,0.9999997451,0.9974309922
29,4800,5,454.8,3858,0.9999999067,0.9974309922
29,4900,5,464.8,3958,0.9999999659,0.9974309922
29,5000,5,474.8,4058,0.9999999875,0.9974309922
30,0,8,0,0,0.1,0.9332150662
30,100,8,5.2,6,0.09841761241,0.9332150662
30,200,8,10.5,22,0.1870923497,0.9332150662
30,300,8,17.3,53,0.315893765,0.9332150662
30,400,8,24,90,0.397735774,0.9332150662
30,500,8,32.1,147,0.550335795,0.9332150662
30,600,8,40.7,214,0.6546897046,0.9332150662
30,700,8,48.9,276,0.6748822661,0.9332150662
30,800,8,57.6,343,0.7037953104,0.9332150662
30,900,8,66.7,411,0.697187034,0.9332150662
30,1000,8,75.3,483,0.7215969099,0.9332150662
30,1100,8,84.4,562,0.7679031352,0.9332150662
30,1200,8,93.2,642,0.8021305428,0.9332150662
30,1300,8,101.5,731,0.86848238,0.9332150662
30,1400,8,110,820,0.9002953604,0.9332150662
30,1500,8,119.5,918,0.9616240752,0.9332150662
30,1600,8,128.9,1018,0.9850800576,0.9332150662
30,1700,8,138,1109,0.9619948987,0.9332150662
30,1800,8,147.3,1199,0.9289184833,0.9332150662
30,1900,8,156.1,1292,0.9326173509,0.9332150662
30,2000,8,164.8,1381,0.9271985768,0.9332150662
30,2100,8,173.9,1475,0.9361241755,0.9332150662
30,2200,8,183.2,1570,0.9472760765,0.9332150662
30,2300,8,192.4,1669,0.9790855897,0.9332150662
30,2400,8,201.8,1768,0.9840906,0.9332150662
30,2500,8,211.5,1868,0.9939983913,0.9332150662
30,2600,8,220.5,1967,0.9975709571,0.9332150662
30,2700,8,229.8,2067,0.9990460881,0.9332150662
30,2800,8,238.4,2167,0.9995980843,0.9332150662
30,2900,8,247.9,2267,0.9998453042,0.9332150662
30,3000,8,256.5,2367,0.9999348214,0.9332150662
30,3100,8,265.8,2467,0.9999744036,0.9332150662
30,3200,8,275,2567,0.9999898465,0.9332150662
30,3300,8,284.6,2667,0.999996131,0.9332150662
30,3400,8,293.7,2767,0.9999984498,0.9332150662
30,3500,8,303.5,2867,0.999999421,0.9332150662
30,3600,8,313.1,2967,0.9999997794,0.9332150662
30,3700,8,322.2,3067,0.9999999116,0.9332150662
30,3800,8,331.6,3167,0.9999999656,0.9332150662
30,3900,8,341.2,3267,0.9999999869,0.9332150662
30,4000,8,350.5,3367,0.9999999949,0.9332150662
30,4100,8,359.8,3467,0.999999998,0.9332150662
30,4200,8,369.4,3567,0.9999999992,0.9332150662
30,4300,8,379.1,3667,0.9999999997,0.9332150662
30,4400,8,388.3,3767,0.9999999999,0.9332150662
30,4500,8,397.4,3867,1,0.9332150662
30,4600,8,406.6,3967,1,0.9332150662
30,4700,8,416,4067,1,0.9332150662
30,4800,8,425,4167,1,0.9332150662
30,4900,8,434.3,4267,1,0.9332150662
30,5000,8,443.7,4367,1,0.9332150662
31,0,6,0,0,0.1,0.9136790414
31,100,6,4.7,15,0.1738370736,0.9136790414
31,200,6,10,42,0.2849195535,0.9136790414
31,300,6,16.6,73,0.3708343745,0.9136790414
31,400,6,23.9,113,0.4526521507,0.9136790414
31,500,6,31.7,161,0.5149989094,0.9136790414
31,600,6,39.7,209,0.5278030982,0.9136790414
31,700,6,48.6,267,0.5901634431,0.9136790414
31,800,6,57.5,331,0.6430491334,0.9136790414
31,900,6,65.7,393,0.6642392622,0.9136790414
31,1000,6,74.4,458,0.6699108243,0.9136790414
31,1100,6,83,523,0.6775297032,0.9136790414
31,1200,6,92.2,590,0.6872892468,0.9136790414
31,1300,6,101.6,648,0.638477801,0.9136790414
31,1400,6,110.3,722,0.7018364156,0.9136790414
31,1500,6,119.3,794,0.7378669682,0.9136790414
31,1600,6,128.5,865,0.736246115,0.9136790414
