# Name, Student Number
# Nikolas Maier, 500461990
# Oluwatomilayo Adegbite, 500569283
Gambler #,Round #,Optimal Arm,Average reward,Times optimal action picked,Actual Probability
77,2900,0,248.6,2881,0.8530991089
77,3000,0,257.1,2981,0.8530991089
77,3100,0,265.7,3081,0.8530991089
77,3200,0,274.1,3181,0.8530991089
77,3300,0,282.7,3281,0.8530991089
77,3400,0,291.3,3381,0.8530991089
77,3500,0,299.7,3481,0.8530991089
77,3600,0,308.5,3581,0.8530991089
77,3700,0,317.6,3681,0.8530991089
77,3800,0,326.5,3781,0.8530991089
77,3900,0,335.3,3881,0.8530991089
77,4000,0,343,3981,0.8530991089
77,4100,0,351,4081,0.8530991089
77,4200,0,360.2,4181,0.8530991089
77,4300,0,368.8,4281,0.8530991089
77,4400,0,377.6,4381,0.8530991089
77,4500,0,386.1,4481,0.8530991089
77,4600,0,394.4,4581,0.8530991089
77,4700,0,402.4,4681,0.8530991089
77,4800,0,410.7,4781,0.8530991089
77,4900,0,419.3,4881,0.8530991089
77,5000,0,428.1,4981,0.8530991089
78,0,9,0,0,0.9926729642
78,100,9,8.1,2,0.9926729642
78,200,9,17.1,2,0.9926729642
78,300,9,24.8,2,0.9926729642
78,400,9,33.2,2,0.9926729642
78,500,9,41.9,2,0.9926729642
78,600,9,49.8,2,0.9926729642
78,700,9,58.2,2,0.9926729642
78,800,9,66.8,2,0.9926729642
78,900,9,76,2,0.9926729642
78,1000,9,85.2,2,0.9926729642
78,1100,9,92.8,2,0.9926729642
78,1200,9,100.9,2,0.9926729642
78,1300,9,109.6,2,0.9926729642
78,1400,9,118.4,2,0.9926729642
78,1500,9,126.9,2,0.9926729642
78,1600,9,135.5,2,0.9926729642
78,1700,9,144,2,0.9926729642
78,1800,9,151.7,2,0.9926729642
78,1900,9,160.4,2,0.9926729642
78,2000,9,168.8,2,0.9926729642
78,2100,9,177.4,2,0.9926729642
78,2200,9,186,2,0.9926729642
78,2300,9,194.6,2,0.9926729642
78,2400,9,203.4,2,0.9926729642
78,2500,9,212.5,2,0.9926729642
78,2600,9,221.1,2,0.9926729642
78,2700,9,229.7,2,0.9926729642
78,2800,9,238.5,2,0.9926729642
78,2900,9,247.3,2,0.9926729642
78,3000,9,255.8,2,0.9926729642
78,3100,9,264.2,2,0.9926729642
78,3200,9,272.9,2,0.9926729642
78,3300,9,281.7,2,0.9926729642
78,3400,9,290,2,0.9926729642
78,3500,9,299.2,2,0.9926729642
78,3600,9,308,2,0.9926729642
78,3700,9,315.7,2,0.9926729642
78,3800,9,324.2,2,0.9926729642
78,3900,9,332.9,2,0.9926729642
78,4000,9,341.7,2,0.9926729642
78,4100,9,350.6,2,0.9926729642
78,4200,9,358.5,2,0.9926729642
78,4300,9,367,2,0.9926729642
78,4400,9,376.5,2,0.9926729642
78,4500,9,384.8,2,0.9926729642
78,4600,9,392.9,2,0.9926729642
78,4700,9,401.3,2,0.9926729642
78,4800,9,410.2,2,0.9926729642
78,4900,9,418.2,2,0.9926729642
78,5000,9,426.6,2,0.9926729642
79,0,5,0,0,0.9441818735
79,100,5,8.9,75,0.9441818735
79,200,5,18.7,175,0.9441818735
79,300,5,27.5,275,0.9441818735
79,400,5,37,375,0.9441818735
79,500,5,46.5,475,0.9441818735
79,600,5,56.1,575,0.9441818735
79,700,5,65.4,675,0.9441818735
79,800,5,75.1,775,0.9441818735
79,900,5,84.5,875,0.9441818735
79,1000,5,94.4,975,0.9441818735
79,1100,5,103.8,1075,0.9441818735
79,1200,5,113.1,1175,0.9441818735
79,1300,5,122.4,1275,0.9441818735
79,1400,5,131.8,1375,0.9441818735
79,1500,5,141.5,1475,0.9441818735
79,1600,5,150.8,1575,0.9441818735
79,1700,5,160.4,1675,0.9441818735
79,1800,5,170,1775,0.9441818735
79,1900,5,179.9,1875,0.9441818735
79,2000,5,189.2,1975,0.9441818735
79,2100,5,198.3,2075,0.9441818735
79,2200,5,207.9,2175,0.9441818735
79,2300,5,217.5,2275,0.9441818735
79,2400,5,226.9,2375,0.9441818735
79,2500,5,236.2,2475,0.9441818735
79,2600,5,245.5,2575,0.9441818735
79,2700,5,254.6,2675,0.9441818735
79,2800,5,264.3,2775,0.9441818735
79,2900,5,273.9,2875,0.9441818735
79,3000,5,283.3,2975,0.9441818735
79,3100,5,292.7,3075,0.9441818735
79,3200,5,302.3,3175,0.9441818735
79,3300,5,312,3275,0.9441818735
79,3400,5,321.7,3375,0.9441818735
79,3500,5,331.2,3475,0.9441818735
79,3600,5,340.7,3575,0.9441818735
79,3700,5,350.4,3675,0.9441818735
79,3800,5,359.6,3775,0.9441818735
79,3900,5,369.3,3875,0.9441818735
79,4000,5,378.9,3975,0.9441818735
79,4100,5,388.1,4075,0.9441818735
79,4200,5,397.6,4175,0.9441818735
79,4300,5,406.7,4275,0.9441818735
79,4400,5,416.1,4375,0.9441818735
79,4500,5,425.6,4475,0.9441818735
79,4600,5,435.1,4575,0.9441818735
79,4700,5,444.6,4675,0.9441818735
79,4800,5,453.9,4775,0.9441818735
79,4900,5,463.2,4875,0.9441818735
79,5000,5,472.9,4975,0.9441818735
80,0,1,0,0,0.8789924267
80,100,1,8.7,82,0.8789924267
80,200,1,17.8,182,0.8789924267
80,300,1,26.2,282,0.8789924267
80,400,1,35,382,0.8789924267
80,500,1,43.8,482,0.8789924267
80,600,1,52.6,582,0.8789924267
80,700,1,61.7,682,0.8789924267
80,800,1,70.5,782,0.8789924267
80,900,1,78.9,882,0.8789924267
80,1000,1,88,982,0.8789924267
80,1100,1,96.7,1082,0.8789924267
80,1200,1,105.2,1182,0.8789924267
80,1300,1,114.2,1282,0.8789924267
80,1400,1,123.1,1382,0.8789924267
80,1500,1,132,1482,0.8789924267
80,1600,1,140.7,1582,0.8789924267
80,1700,1,149.1,1682,0.8789924267
80,1800,1,158.2,1782,0.8789924267
80,1900,1,167.4,1882,0.8789924267
80,2000,1,176.1,1982,0.8789924267
80,2100,1,185.4,2082,0.8789924267
80,2200,1,194.5,2182,0.8789924267
80,2300,1,202.7,2282,0.8789924267
80,2400,1,211.8,2382,0.8789924267
80,2500,1,220.8,2482,0.8789924267
80,2600,1,229.9,2582,0.8789924267
80,2700,1,238.8,2682,0.8789924267
80,2800,1,246.6,2782,0.8789924267
80,2900,1,256,2882,0.8789924267
80,3000,1,263.9,2982,0.8789924267
80,3100,1,272.1,3082,0.8789924267
80,3200,1,280.9,3182,0.8789924267
80,3300,1,289.7,3282,0.8789924267
80,3400,1,299.1,3382,0.8789924267
80,3500,1,308.1,3482,0.8789924267
80,3600,1,317.1,3582,0.8789924267
80,3700,1,326.2,3682,0.8789924267
